Length_Bytes,Alignment_Bytes,Alpha_Percent,Time_Serial_ns,Time_SIMD_ns
39908,1,30,97360,1467
39908,1,40,111816,1955
39908,1,50,127042,1885
39908,1,60,141779,2375
39908,1,70,108394,1886
39908,1,80,63416,2375
39908,1,90,41485,1885
39908,1,100,23328,2375
51479,32,0,25702,2445
51479,32,10,52451,2375
51479,32,20,80667,1886
51479,32,30,118800,2375
51479,32,40,159030,2374
51479,32,50,158121,2374
51479,32,60,142546,2374
51479,32,70,115099,1885
51479,32,80,81016,1885
51479,32,90,53080,2444
51479,32,100,24863,2375
51479,1,0,26191,1956
51479,1,10,52521,1956
51479,1,20,80807,2374
51479,1,30,113841,1886
51479,1,40,145061,2375
51479,1,50,164477,2305
51479,1,60,147366,2374
51479,1,70,111817,1955
51479,1,80,79550,2374
51479,1,90,52591,2374
51479,1,100,24654,1886
66405,32,0,32756,2375
66405,32,10,84020,2864
66405,32,20,105740,1885
66405,32,30,187874,2445
66405,32,40,238090,2304
66405,32,50,217976,2375
66405,32,60,214554,1885
66405,32,70,166083,2374
66405,32,80,102668,2305
66405,32,90,67327,1396
66405,32,100,31917,2374
66405,1,0,31847,1886
66405,1,10,68026,2375
66405,1,20,104483,2444
66405,1,30,153093,2375
66405,1,40,186547,2375
66405,1,50,209036,2375
66405,1,60,211550,2444
66405,1,70,144433,2375
66405,1,80,101899,2375
66405,1,90,68235,2794
66405,1,100,31987,2444
85658,32,0,42324,1956
85658,32,10,86743,2374
85658,32,20,133677,2445
85658,32,30,225728,2864
85658,32,40,248148,2864
85658,32,50,263163,2375
85658,32,60,235157,2374
85658,32,70,186966,2933
85658,32,80,135074,2375
85658,32,90,90794,3422
85658,32,100,40718,2374
85658,1,0,41905,2863
85658,1,10,86255,2863
85658,1,20,133816,2863
85658,1,30,194509,2933
85658,1,40,300668,2375
85658,1,50,262535,2374
85658,1,60,236624,2864
85658,1,70,226705,2793
85658,1,80,129766,2445
85658,1,90,86324,2375
85658,1,100,40298,2863
110493,32,0,53708,3283
110493,32,10,117474,2863
110493,32,20,181938,2933
110493,32,30,244236,1886
110493,32,40,306884,2445
110493,32,50,345366,2864
110493,32,60,319176,2864
110493,32,70,270287,3841
110493,32,80,167969,3212
110493,32,90,125924,2794
110493,32,100,52102,3282
110493,1,0,53918,3353
110493,1,10,115518,3353
110493,1,20,170204,3282
110493,1,30,240255,2793
110493,1,40,383081,3841
110493,1,50,342992,2864
110493,1,60,302903,2864
110493,1,70,243957,2864
110493,1,80,169925,2863
110493,1,90,114959,3423
110493,1,100,52102,3283
142529,32,0,68026,3283
142529,32,10,141918,3422
142529,32,20,244166,4261
142529,32,30,306046,3422
142529,32,40,397399,3283
142529,32,50,444403,3772
142529,32,60,439723,3352
142529,32,70,299760,2374
142529,32,80,216858,3841
142529,32,90,152534,3352
142529,32,100,66838,3282
142529,1,0,68585,2864
142529,1,10,142128,3422
142529,1,20,221887,3422
142529,1,30,384339,3352
142529,1,40,399354,4190
142529,1,50,444682,3282
142529,1,60,388878,3772
142529,1,70,304579,3352
142529,1,80,220420,2933
142529,1,90,149252,4260
142529,1,100,66978,3841
183854,32,0,88490,4331
183854,32,10,182636,4749
183854,32,20,283417,4331
183854,32,30,393977,3911
183854,32,40,509424,4330
183854,32,50,565926,4330
183854,32,60,515710,4260
183854,32,70,389367,4330
183854,32,80,277620,4330
183854,32,90,195138,4819
183854,32,100,85836,4330
183854,1,0,88210,3282
183854,1,10,182287,4260
183854,1,20,280414,4330
183854,1,30,398376,5238
183854,1,40,519970,3212
183854,1,50,564041,4331
183854,1,60,520250,4679
183854,1,70,408922,4260
183854,1,80,284326,4260
183854,1,90,190877,4330
183854,1,100,85765,4749
237160,32,0,113981,6774
237160,32,10,375748,6705
237160,32,20,367087,5727
237160,32,30,506561,6076
237160,32,40,657489,7124
237160,32,50,739064,6216
237160,32,60,647711,5238
237160,32,70,513056,5797
237160,32,80,371069,5238
237160,32,90,248357,6705
237160,32,100,110629,6147
237160,1,0,113982,5727
237160,1,10,247518,6705
237160,1,20,439094,5797
237160,1,30,510262,7124
237160,1,40,668035,6006
237160,1,50,743045,4750
237160,1,60,709591,6146
237160,1,70,496504,14178
237160,1,80,357031,5308
237160,1,90,239347,5308
237160,1,100,109931,6146
305921,32,0,145899,6635
305921,32,10,326440,6705
305921,32,20,475203,7892
305921,32,30,661540,7054
305921,32,40,850950,6984
305921,32,50,971916,8521
305921,32,60,871204,6565
305921,32,70,665451,8939
305921,32,80,468498,15365
305921,32,90,312681,6286
305921,32,100,142267,7124
305921,1,0,150718,7124
305921,1,10,302624,6775
305921,1,20,473456,7683
305921,1,30,726493,7264
305921,1,40,842080,6705
305921,1,50,956761,7683
305921,1,60,854652,7054
305921,1,70,649597,9079
305921,1,80,470314,13339
305921,1,90,320992,9847
305921,1,100,141359,7543
394619,32,0,188013,9987
394619,32,10,400472,9987
394619,32,20,606784,9079
394619,32,30,841871,10476
394619,32,40,1088970,9010
394619,32,50,1220064,10406
394619,32,60,1091904,9988
394619,32,70,835376,8660
394619,32,80,594701,9499
394619,32,90,387831,11105
394619,32,100,186128,10058
394619,1,0,369182,14807
394619,1,10,427571,17251
394619,1,20,626270,9499
394619,1,30,852137,12781
394619,1,40,1094209,10336
394619,1,50,1224953,8032
394619,1,60,1082684,11803
394619,1,70,846131,8521
394619,1,80,603432,8242
